sheet,name,lat_old,lon_old,lat_new,lon_new,source_comment
General Data,Gratkorn,47.1341111979,15.3340554504,47.124132,15.342714,"Falsche Koordinaten 47,124132  15,342714 / Netz vorhanden in Ortsteil aber kein Plan"
General Data,UCOV Praha,50.0827,14.4691,50.1140634,14.3984658,"Falsche Koordinaten 50,1140634 14,3984658"
General Data,München I,48.2095,11.7052,48.209137,11.628912,"Sehr nah zu bestehendem FWG/ Falsche Koordinaten 48,209137 11,628912"
General Data,Chemnitz Heinersdorf ZKA,50.8836,12.8921,50.87664,12.89768,"Falsche Koordinaten  50,876640  12,897680"
General Data,Bitterfeld-Wolfen,51.6518,12.3106,51.66339,12.2875,"Falsche koordinaten 51,663390 12,287500"
General Data,Damhusåen,55.63677649,12.60951822,55.6392283,12.508493,"Heizwerk direkt angeschlossen/ Falsche Koordinaten 55,6392283 12,5084930"
General Data,SAN PANTALEON,43.44221,-3.45325,43.46107,-3.5239584,"Kein bekanntes Fernwärmenetz in der Nähe/ Falsche Koordinaten 43,461070 -3,5239584"
General Data,ROUEN,49.4283909998,1.0279567331,49.428625,1.04236132,"Netz verläuft direkt neben Anlage/ Falsche Koordinaten 49,4286250, 1,04236132"
General Data,Miskolc - Szennyviztisztito Telep,48.08445,20.855507,48.085467,20.848491,"Keine Daten gefunden/ Falsche Koordinaten 48,085467 20,848491"
General Data,Cork city,51.89653,-8.46689,51.888792,-8.336269,"Kein bekanntes Fernwärmenetz in der Nähe, Umgeben von Industrieparks,Falsche Koordinaten 51,888792  -8,336269"
General Data,Ringsend,53.35607,-6.28966,53.338528,-6.1963557,"Anlage direkt daneben, Dublin Waste to heat/ Falsche Koordinaten 53,338528 -6,1963557"
General Data,Bolzano,46.504155,11.3141878294,46.47568,11.31053,"Falsche Koordinaten 46,475680  11,310530"
General Data,ROWP DANCU IASI,47.156,27.594,47.148496,27.65861,"Koordinaten Anlage falsch / 47,148496 27,658610"
General Data,ROWP RAJA Constanta Sud,44.176,28.627,44.136628,28.629618,"Koordinaten Anlage falsch / 44,136628 28,629618"
General Data,ROWP GALATI,45.441,28.041,45.406389,28.002566,"Koordinaten Anlage falsch / 45,406389  28,002566 "
General Data,ROWP SC APA CANAL 2000 S.A. PITESTI,44.836,24.923,44.836,24.923,"Koordinaten Anlage falsch / 44,836000 24,923000"
General Data,ROWP SC COMPANIA APA SA Brasov,45.65,25.579,45.681905,25.57339,"Koordinaten Anlage falsch / 45,681905 25,573390"
General Data,LEEDS (KNOSTROP) STW,53.77159342,-1.47577525,53.779774,-1.489746,"Netz direkt neben Anlage in Erwägung gezogen/Falsche Koordinaten 53,779774 -1,489746"
